"ID";"DESCRIPTION";"REACTION";"GPR";"REVERSIBLE";"LOWER.BOUND";"UPPER.BOUND";"OBJECTIVE"
"5MTHFt2";"5-methyltetrahydrofolate transport via anion exchange";"h2o[c] + 5mthf[e] <=> h2o[e] + 5mthf[c] ";"( 6573 )";1;-1000;1000;0
"A_MANASEly";"alpha-mannosidase, lysosomal";"2 h2o[l] + m2mn[l] => 2 man[l] + mn[l] ";"( 4125 )";0;0;1000;0
"A4GALTg";"Lactosylceramide 4-alpha-galactosyltransferase";"galgluside_hs[g] + udpgal[g] => h[g] + thcrm_hs[g] + udp[g] ";"( 53947 )";0;0;1000;0
"A4GNT2g";"alpha 1,4-N-acetylglucosaminyltransferase, Golgi apparatus";"uacgam[g] + core2[g] => h[g] + udp[g] + gncore2[g] ";"( 51146 )";0;0;1000;0
"AACOAT";"Acetoacetyl-CoA:acetate CoA-transferase";"atp[c] + coa[c] + acac[c] => aacoa[c] + amp[c] + ppi[c] ";"( 65985 )";0;0;1000;0
"AACTOOR";"Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)";"h2o[c] + o2[c] + aact[c] => h2o2[c] + nh4[c] + mthgxl[c] ";"( 8639 )";0;0;1000;0
"AACTtm";"Aminoacetone transport (mitochondrial)";"aact[m] => aact[c] ";"";0;0;1000;0
"ABTArm";"4-aminobutyrate transaminase, reversible (mitochondrial)";"akg[m] + 4abut[m] <=> glu_L[m] + sucsal[m] ";"( 18 )";1;-1000;1000;0
"ABUTD";"Aminobutyraldehyde dehydrogenase";"h2o[c] + nad[c] + 4abutn[c] => 2 h[c] + nadh[c] + 4abut[c] ";"( 223 )";0;0;1000;0
"ABUTt2r";"4-aminobutyrate reversible transport in via proton symport";"h[e] + 4abut[e] <=> h[c] + 4abut[c] ";"( 206358 )";1;-1000;1000;0
"ABUTt4_2_r";"4-aminobutyrate reversible transport in via sodium symport (1:2)";"2 na1[e] + 4abut[e] <=> 2 na1[c] + 4abut[c] ";"( 6529 ) or ( 6538 ) or ( 6540 ) or ( 6539 )";1;-1000;1000;0
"ACACT10m";"acetyl-CoA C-acetyltransferase, mitochondrial";"coa[m] + 2maacoa[m] <=> accoa[m] + ppcoa[m] ";"( 38 ) or ( 3032 ) or ( 10449 )";1;-1000;1000;0
"ACACT1r";"acetyl-CoA C-acetyltransferase";"2 accoa[c] <=> coa[c] + aacoa[c] ";"( 39 )";1;-1000;1000;0
"ACACT1rm";"acetyl-CoA C-acetyltransferase, mitochondrial";"2 accoa[m] => coa[m] + aacoa[m] ";"( 3030 and 3032 ) or ( 38 )";0;0;1000;0
"ACACT1x";"acetyl-CoA C-acetyltransferase, mitochondrial";"2 accoa[x] => aacoa[x] + coa[x] ";"( 39 )";0;0;1000;0
"ACACt2";"acetoacetate transport via proton symport";"h[e] + acac[e] <=> h[c] + acac[c] ";"( 6566 ) or ( 9194 )";1;-1000;1000;0
"ACACt2m";"Acetoacetate mitochondrial transport via H+ symport";"h[c] + acac[c] <=> h[m] + acac[m] ";"( 6566 )";1;-1000;1000;0
"ACACT4p";"acetyl-CoA C-acetyltransferase (octanoyl-CoA), peroxisomal";"coa[x] + 3odcoa[x] => accoa[x] + occoa[x] ";"( 30 )";0;0;1000;0
"ACACT5p";"acetyl-CoA C-acyltransferase (decanoyl-CoA), peroxisomal";"coa[x] + 3oddcoa[x] => accoa[x] + dcacoa[x] ";"( 30 )";0;0;1000;0
"ACACT7p";"acetyl-CoA acyltransferase (tetradecanoyl-CoA), peroxisomal";"coa[x] + 3ohdcoa[x] => accoa[x] + tdcoa[x] ";"( 30 )";0;0;1000;0
"ACALDtm";"acetaldehyde mitochondrial diffusion";"acald[m] <=> acald[c] ";"";1;-1000;1000;0
"ACCOAC";"acetyl-CoA carboxylase";"atp[c] + hco3[c] + accoa[c] => adp[c] + h[c] + pi[c] + malcoa[c] ";"( 31 ) or ( 31 and 32 )";0;0;1000;0
"ACCOACm";"Acetyl-Coa carboxylase, beta isoform";"accoa[m] + atp[m] + hco3[m] => h[m] + adp[m] + malcoa[m] + pi[m] ";"( 32 )";0;0;1000;0
"ACCOAgt";"acetyl-coa transport";"accoa[c] <=> accoa[g] ";"( 9197 )";1;-1000;1000;0
"ACCOAtn";"acetyl-CoA transport, nuclear";"accoa[c] <=> accoa[n] ";"";1;-1000;1000;0
"ACCOAtr";"acetyl-coa transport";"accoa[c] <=> accoa[r] ";"( 9197 )";1;-1000;1000;0
"ACGALK2";"N-acetylgalactosamine kinase (ITP)";"acgal[c] + itp[c] => h[c] + acgal1p[c] + idp[c] ";"";0;0;1000;0
"ACGALtly";"N-acetyl-galactosamine lysosomal efflux";"acgal[l] => acgal[c] ";"";0;0;1000;0
"ACGAM2E";"N-acetylglucosamine 2-epimerase";"acgam[c] <=> acmana[c] ";"( 5973 )";1;-1000;1000;0
"ACGAM6PSi";"N-acetylglucosamine-6-phosphate synthase";"accoa[c] + gam6p[c] => h[c] + coa[c] + acgam6p[c] ";"( 64841 )";0;0;1000;0
"ACGAMK";"N-acetylglucosamine kinase";"atp[c] + acgam[c] => adp[c] + h[c] + acgam6p[c] ";"( 55577 )";0;0;1000;0
"ACGAMPM";"phosphoacetylglucosamine mutase";"acgam6p[c] <=> acgam1p[c] ";"( 5238 )";1;-1000;1000;0
"ACHtn";"Acetylcholin transport, nuclear trhough pores";"ach[n] <=> ach[c] ";"";1;-1000;1000;0
"ACNAMlt";"N-acetylneuraminate transport into lysososme";"h[c] + acnam[c] <=> h[l] + acnam[l] ";"( 26503 )";1;-1000;1000;0
"ACNMLr";"N-Acetylneuraminate lyase (reversible)";"acnam[c] <=> pyr[c] + acmana[c] ";"";1;-1000;1000;0
"ACOAD10m";"acyl-CoA dehydrogenase (2-methylbutanoyl-CoA), mitochondrial";"2mbcoa[m] + fad[m] => 2mb2coa[m] + fadh2[m] ";"( 36 ) or ( 34 )";0;0;1000;0
"ACOAD1fm";"acyl-CoA dehydrogenase (butanoyl-CoA), mitochondrial";"fad[m] + btcoa[m] => b2coa[m] + fadh2[m] ";"( 80724 ) or ( 36 ) or ( 35 ) or ( 34 ) or ( 84129 ) or ( 27034 ) or ( 28976 )";0;0;1000;0
"ACOAD8m";"acyl-CoA dehydrogenase (isovaleryl-CoA), mitochondrial";"fad[m] + ivcoa[m] => fadh2[m] + 3mb2coa[m] ";"( 3712 )";0;0;1000;0
"ACOAD9m";"acyl-CoA dehydrogenase (isobutyryl-CoA), mitochondrial";"fad[m] + ibcoa[m] => fadh2[m] + 2mp2coa[m] ";"( 34 ) or ( 27034 )";0;0;1000;0
"ACOAO7p";"acyl-CoA oxidase (hexadecanoyl-CoA), peroxisomal";"pmtcoa[x] + o2[x] => h2o2[x] + hdd2coa[x] ";"( 51 )";0;0;1000;0
"ACONT";"aconitase";"cit[c] <=> icit[c] ";"( 3658 ) or ( 48 )";1;-1000;1000;0
"ACONTm";"Aconitate hydratase";"cit[m] <=> icit[m] ";"( 50 ) or ( 48 )";1;-1000;1000;0
"ACSm";"acetyl-CoA synthetase";"coa[m] + atp[m] + ac[m] => accoa[m] + amp[m] + ppi[m] ";"( 84532 )";0;0;1000;0
"ACt2m";"acetate mitochondrial transport via proton symport";"h[c] + ac[c] <=> h[m] + ac[m] ";"";1;-1000;1000;0
"ACt2r";"acetate reversible transport via proton symport";"h[e] + ac[e] <=> h[c] + ac[c] ";"";1;-1000;1000;0
"ACtg";"acetate transport, Golgi apparatus";"ac[c] <=> ac[g] ";"";1;-1000;1000;0
"ACYP";"acylphosphatase";"h2o[c] + 13dpg[c] => h[c] + pi[c] + 3pg[c] ";"( 112611 ) or ( 98 ) or ( 97 )";0;0;1000;0
"ADA";"Adenosine deaminase";"h2o[c] + h[c] + adn[c] => nh4[c] + ins[c] ";"( 100 )";0;0;1000;0
"ADK1";"adenylate kinase";"atp[c] + amp[c] <=> 2 adp[c] ";"( 122481 ) or ( 203 ) or ( 26289 ) or ( 204 )";1;-1000;1000;0
"ADK1m";"adenylate kinase, mitochondrial";"atp[m] + amp[m] <=> 2 adp[m] ";"( 205 ) or ( 204 )";1;-1000;1000;0
"ADK3";"adentylate kinase (GTP)";"amp[c] + gtp[c] <=> adp[c] + gdp[c] ";"( 26289 )";1;-1000;1000;0
"ADK3m";"adentylate kinase (GTP)";"amp[m] + gtp[m] <=> adp[m] + gdp[m] ";"( 50808 )";1;-1000;1000;0
"ADKd";"adenylate kinase (d form)";"damp[c] + datp[c] <=> 2 dadp[c] ";"( 26289 )";1;-1000;1000;0
"ADNCYC";"adenylate cyclase";"atp[c] => ppi[c] + camp[c] ";"( 112 ) or ( 55811 ) or ( 109 ) or ( 114 ) or ( 108 ) or ( 113 ) or ( 107 ) or ( 196883 ) or ( 115 ) or ( 111 )";0;0;1000;0
"ADNK1";"adenosine kinase";"atp[c] + adn[c] => adp[c] + h[c] + amp[c] ";"( 132 )";0;0;1000;0
"ADNt";"adenosine facilated transport in cytosol";"adn[e] <=> adn[c] ";"( 3177 ) or ( 2030 )";1;-1000;1000;0
"ADNt4";"adenosine transport (Na/Adn cotransport)";"na1[e] + adn[e] => na1[c] + adn[c] ";"( 9154 ) or ( 64078 ) or ( 9153 )";0;0;1000;0
"ADNtm";"adenosine facilated transport in mitochondria";"adn[c] <=> adn[m] ";"( 2030 )";1;-1000;1000;0
"ADPRDP";"ADPribose diphosphatase";"h2o[c] + adprib[c] => 2 h[c] + amp[c] + r5p[c] ";"( 11164 )";0;0;1000;0
"ADPRIBt";"ADPribose transport";"adprib[e] => adprib[c] ";"( 952 )";0;0;1000;0
"ADPT";"adenine phosphoribosyltransferase";"ade[c] + prpp[c] => amp[c] + ppi[c] ";"( 353 )";0;0;1000;0
"ADPtx";"ADP transporter, peroxisomal";"adp[c] <=> adp[x] ";"";1;-1000;1000;0
"ADRNt";"fatty acid transport via diffusion";"adrn[e] <=> adrn[c] ";"";1;-1000;1000;0
"ADSK";"adenylyl-sulfate kinase";"atp[c] + aps[c] => adp[c] + h[c] + paps[c] ";"( 9060 ) or ( 9061 )";0;0;1000;0
"ADSL1";"adenylosuccinate lyase";"dcamp[c] => amp[c] + fum[c] ";"( 158 )";0;0;1000;0
"ADSL2";"adenylosuccinate lyase";"25aics[c] => fum[c] + aicar[c] ";"( 158 )";0;0;1000;0
"ADSS";"adenylosuccinate synthase";"asp_L[c] + gtp[c] + imp[c] => 2 h[c] + pi[c] + gdp[c] + dcamp[c] ";"( 159 ) or ( 122622 )";0;0;1000;0
"AG13T10g";"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus";"uacgam[g] + ksi_pre18[g] => h[g] + udp[g] + ksi_pre19[g] ";"( 79369 ) or ( 10678 ) or ( 11041 ) or ( 146712 ) or ( 374907 ) or ( 93010 ) or ( 10331 )";0;0;1000;0
"AG13T11g";"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus";"uacgam[g] + ksi_pre21[g] => h[g] + udp[g] + ksi_pre22[g] ";"( 79369 ) or ( 374907 ) or ( 11041 ) or ( 146712 ) or ( 93010 ) or ( 10331 ) or ( 10678 )";0;0;1000;0
"AG13T12g";"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus";"uacgam[g] + ksi_pre24[g] => h[g] + udp[g] + ksi_pre25[g] ";"( 79369 ) or ( 374907 ) or ( 11041 ) or ( 146712 ) or ( 93010 ) or ( 10331 ) or ( 10678 )";0;0;1000;0
"AG13T13g";"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus";"uacgam[g] + ksi_pre27[g] => h[g] + udp[g] + ksi_pre28[g] ";"( 79369 ) or ( 374907 ) or ( 11041 ) or ( 146712 ) or ( 93010 ) or ( 10331 ) or ( 10678 )";0;0;1000;0
"AG13T14g";"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus";"uacgam[g] + ksi_pre30[g] => h[g] + udp[g] + ksi_pre31[g] ";"( 79369 ) or ( 374907 ) or ( 11041 ) or ( 146712 ) or ( 93010 ) or ( 10331 ) or ( 10678 )";0;0;1000;0
"AG13T15g";"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus";"uacgam[g] + ksi_pre33[g] => h[g] + udp[g] + ksi_pre34[g] ";"( 79369 ) or ( 374907 ) or ( 11041 ) or ( 146712 ) or ( 93010 ) or ( 10331 ) or ( 10678 )";0;0;1000;0
"AG13T1g";"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus";"uacgam[g] + ksii_core2_pre2[g] => h[g] + udp[g] + ksii_core2_pre3[g] ";"( 11041 ) or ( 10678 ) or ( 93010 ) or ( 374907 ) or ( 146712 ) or ( 10331 ) or ( 79369 )";0;0;1000;0
"AG13T2g";"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus";"uacgam[g] + ksii_core2_pre4[g] => h[g] + udp[g] + ksii_core2_pre5[g] ";"( 79369 ) or ( 374907 ) or ( 11041 ) or ( 146712 ) or ( 93010 ) or ( 10331 ) or ( 10678 )";0;0;1000;0
"AG13T3g";"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus";"uacgam[g] + ksii_core2_pre7[g] => h[g] + udp[g] + ksii_core2_pre8[g] ";"( 10331 ) or ( 11041 ) or ( 374907 ) or ( 10678 ) or ( 79369 ) or ( 93010 ) or ( 146712 )";0;0;1000;0
"AG13T4g";"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus";"uacgam[g] + ksi_pre1[g] => h[g] + udp[g] + ksi_pre2[g] ";"( 11041 ) or ( 10678 ) or ( 93010 ) or ( 10331 ) or ( 374907 ) or ( 146712 ) or ( 79369 )";0;0;1000;0
"AG13T5g";"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus";"uacgam[g] + ksi_pre3[g] => h[g] + udp[g] + ksi_pre4[g] ";"( 79369 ) or ( 374907 ) or ( 11041 ) or ( 146712 ) or ( 93010 ) or ( 10331 ) or ( 10678 )";0;0;1000;0
"AG13T6g";"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus";"uacgam[g] + ksi_pre6[g] => h[g] + udp[g] + ksi_pre7[g] ";"( 79369 ) or ( 374907 ) or ( 11041 ) or ( 146712 ) or ( 93010 ) or ( 10331 ) or ( 10678 )";0;0;1000;0
"AG13T7g";"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus";"uacgam[g] + ksi_pre9[g] => h[g] + udp[g] + ksi_pre10[g] ";"( 79369 ) or ( 374907 ) or ( 11041 ) or ( 146712 ) or ( 93010 ) or ( 10331 ) or ( 10678 )";0;0;1000;0
"AG13T8g";"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus";"uacgam[g] + ksi_pre12[g] => h[g] + udp[g] + ksi_pre13[g] ";"( 79369 ) or ( 374907 ) or ( 11041 ) or ( 146712 ) or ( 93010 ) or ( 10331 ) or ( 10678 )";0;0;1000;0
"AG13T9g";"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus";"uacgam[g] + ksi_pre15[g] => h[g] + udp[g] + ksi_pre16[g] ";"( 146712 ) or ( 79369 ) or ( 10331 ) or ( 374907 ) or ( 10678 ) or ( 11041 ) or ( 93010 )";0;0;1000;0
"AGDC";"N-acetylglucosamine-6-phosphate deacetylase";"h2o[c] + acgam6p[c] => gam6p[c] + ac[c] ";"( 51005 )";0;0;1000;0
"AGMTm";"agmatinase (m)";"h2o[m] + agm[m] => ptrc[m] + urea[m] ";"( 79814 )";0;0;1000;0
"AGPAT1";"1-acylglycerol-3-phosphate O-acyltransferase 1";"Rtotal2coa[c] + alpa_hs[c] => coa[c] + pa_hs[c] ";"( 10555 ) or ( 137964 ) or ( 56895 ) or ( 56894 ) or ( 55326 ) or ( 10554 ) or ( 129642 )";0;0;1000;0
"AGTim";"alanine-glyoxylate transaminase (irreversible), mitochondrial";"ala_L[m] + glx[m] => pyr[m] + gly[m] ";"( 64902 ) or ( 64850 )";0;0;1000;0
"AHC";"adenosylhomocysteinase";"h2o[c] + ahcys[c] <=> adn[c] + hcys_L[c] ";"( 191 ) or ( 10768 )";1;-1000;1000;0
"AHCYStn";"S-adenosyl-L-homocysteine nuclear transport";"ahcys[c] <=> ahcys[n] ";"";1;-1000;1000;0
"AHCYStr";"S-Adenosyl-L-homocysteine intracellular diffusion";"ahcys[c] <=> ahcys[r] ";"";1;-1000;1000;0
"AHEXASEly";"beta-N-acetylhexosaminidase, lysosomal";"2 h2o[l] + n2m2mn[l] => m2mn[l] + 2 acgam[l] ";"( 3073 ) or ( 3074 ) or ( 3073 and 3074 )";0;0;1000;0
"AICART";"phosphoribosylaminoimidazolecarboxamide formyltransferase";"10fthf[c] + aicar[c] <=> fprica[c] + thf[c] ";"( 471 )";1;-1000;1000;0
"AIRCr";"phosphoribosylaminoimidazole carboxylase";"co2[c] + air[c] <=> h[c] + 5aizc[c] ";"( 10606 )";1;-1000;1000;0
"AK2LGCHOLt";"1-alkyl 2-acylglycerol 3-phosphocholine transport";"ak2lgchol_hs[e] <=> ak2lgchol_hs[c] ";"";1;-1000;1000;0
"AKGDm";"2-oxoglutarate dehydrogenase";"akg[m] + coa[m] + nad[m] => co2[m] + nadh[m] + succoa[m] ";"( 1738 and 1743 and 4967 and 8050 )";0;0;1000;0
"AKGMALtm";"alpha-ketoglutarate/malate transporter";"akg[m] + mal_L[c] <=> akg[c] + mal_L[m] ";"( 8402 ) or ( 1468 )";1;-1000;1000;0
"AKGt4_3";"AKG transport via sodium symport";"3 na1[e] + akg[e] <=> akg[c] + 3 na1[c] ";"( 64849 )";1;-1000;1000;0
"AKR1C41";"aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)";"h[c] + nadh[c] + xol7ah[c] => nad[c] + xol7ah2[c] ";"( 1109 )";0;0;1000;0
"AKR1C42";"aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)";"h[c] + nadh[c] + xoldioloneh[c] => nad[c] + xoltriol[c] ";"( 1109 )";0;0;1000;0
"AKR1D";"aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)";"h[c] + nadph[c] + xol7aone[c] => nadp[c] + xol7ah[c] ";"( 6718 )";0;0;1000;0
"AKR1D2";"aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)";"h[c] + nadph[c] + xoldiolone[c] => nadp[c] + xoldioloneh[c] ";"( 6718 )";0;0;1000;0
"ALAASNNaEx";"L-alanine/L-asparagine Na-dependent exchange (Ala-L in)";"na1[e] + ala_L[e] + asn_L[c] => na1[c] + ala_L[c] + asn_L[e] ";"( 6510 )";0;0;1000;0
"ALADGLNexR";"L-alanine/glutamine reversible exchange";"ala_D[e] + gln_L[c] <=> ala_D[c] + gln_L[e] ";"( 56301 and 6520 )";1;-1000;1000;0
"ALADGLYexR";"D-alanine/glycine reversible exchange";"ala_D[e] + gly[c] <=> ala_D[c] + gly[e] ";"( 56301 and 6520 )";1;-1000;1000;0
"ALAGLNexR";"L-alanine/glutamine reversible exchange";"ala_L[e] + gln_L[c] <=> ala_L[c] + gln_L[e] ";"( 56301 and 6520 )";1;-1000;1000;0
"ALAGLNNaEx";"L-alanine/L-glutamine Na-dependent exchange (Ala-L in)";"na1[e] + ala_L[e] + gln_L[c] => na1[c] + ala_L[c] + gln_L[e] ";"( 6510 )";0;0;1000;0
"ALAGLYexR";"L-alanine/glycine reversible exchange";"ala_L[e] + gly[c] <=> ala_L[c] + gly[e] ";"( 56301 and 6520 )";1;-1000;1000;0
"ALAR";"alanine racemase";"ala_L[c] <=> ala_D[c] ";"( 11212 )";1;-1000;1000;0
"ALASm";"5-aminolevulinate synthase";"h[m] + gly[m] + succoa[m] => coa[m] + co2[m] + 5aop[m] ";"( 212 ) or ( 23464 ) or ( 211 )";0;0;1000;0
"ALAt2r";"L-alanine reversible transport via proton symport";"h[e] + ala_L[e] <=> h[c] + ala_L[c] ";"( 153201 ) or ( 206358 )";1;-1000;1000;0
"ALAt4";"Alanine-Sodium symporter";"na1[e] + ala_L[e] => na1[c] + ala_L[c] ";"( 54407 ) or ( 6542 ) or ( 11254 ) or ( 6541 ) or ( 81539 ) or ( 55089 ) or ( 84889 ) or ( 340024 and 57393 ) or ( 59272 )";0;0;1000;0
"ALATA_L";"L-alanine transaminase";"akg[c] + ala_L[c] <=> pyr[c] + glu_L[c] ";"( 2875 ) or ( 84706 )";1;-1000;1000;0
"ALATHRNaEx";"L-alanine/L-threonine Na-dependent exchange (Ala-L in)";"na1[e] + ala_L[e] + thr_L[c] => na1[c] + ala_L[c] + thr_L[e] ";"( 6509 ) or ( 6510 )";0;0;1000;0
"ALAtN1";"Alanine transport (Na, H coupled)";"h[c] + 2 na1[e] + ala_L[e] <=> h[e] + 2 na1[c] + ala_L[c] ";"( 92745 ) or ( 10991 )";1;-1000;1000;0
"ALCD1";"alcohol dehydrogenase (methanol)";"nad[c] + meoh[c] <=> h[c] + nadh[c] + fald[c] ";"( 124 ) or ( 131 ) or ( 130 ) or ( 124 and 125 ) or ( 125 and 126 ) or ( 128 ) or ( 127 ) or ( 124 and 126 ) or ( 125 ) or ( 137872 ) or ( 284273 ) or ( 126 )";1;-1000;1000;0
"ALCD21_L";"alcohol dehydrogenase (L-1,2-propanediol)";"nad[c] + 12ppd_S[c] => h[c] + nadh[c] + lald_L[c] ";"( 130 ) or ( 125 ) or ( 124 and 125 ) or ( 128 ) or ( 126 ) or ( 284273 ) or ( 137872 ) or ( 127 ) or ( 124 ) or ( 124 and 126 ) or ( 125 and 126 ) or ( 131 )";0;0;1000;0
