"ID";"DESCRIPTION";"REACTION";"GPR";"REVERSIBLE";"LOWER.BOUND";"UPPER.BOUND";"OBJECTIVE"
"ACP1_FMN_";"acid phosphatase (FMN)";"h2o[c] + fmn[c] => pi[c] + ribflv[c] ";"( 52 ) or ( 55 ) or ( 51205 ) or ( 54 )";0;0;51,228;0
"ACRNtm";"O-acetylcarnintine transport into mitochondria via diffusion";"acrn[c] => acrn[m] ";"( 788 )";0;0;31,846;0
"ADAe";"Adenosine deaminase, extracellular";"h[e] + h2o[e] + adn[e] => ins[e] + nh4[e] ";"( 100 )";0;0;4,362;0
"ADMDC";"adenosylmethionine decarboxylase";"h[c] + amet[c] => co2[c] + ametam[c] ";"( 262 )";0;0;18,26;0
"ADNK1m";"adenosine kinase, mitochondrial";"atp[m] + adn[m] => h[m] + adp[m] + amp[m] ";"";0;0;23,512;0
"AK2LGCHOLt";"1-alkyl 2-acylglycerol 3-phosphocholine transport";"ak2lgchol_hs[e] <=> ak2lgchol_hs[c] ";"";1;-23,512;23,512;0
"ALOX52";"Arachidonate 5-lipoxygenase";"5HPET[c] => h2o[c] + leuktrA4[c] ";"( 240 )";0;0;0,499;0
"AMCOXO";"2-aminomuconate reductase";"h2o[c] + h[c] + nadph[c] + amuco[c] => nh4[c] + nadp[c] + 2oxoadp[c] ";"";0;0;23,512;0
"ARACHCOAtx";"fatty acid intracellular transport";"arachcoa[c] <=> arachcoa[x] ";"";1;-23,512;23,512;0
"ASNt4";"L-asparagine transport in via sodium symport";"na1[e] + asn_L[e] => na1[c] + asn_L[c] ";"( 81539 ) or ( 11254 ) or ( 54407 ) or ( 55089 ) or ( 340024 and 57393 ) or ( 59272 )";0;0;41,942;0
"B3GALT43g";"Beta-1,3-galactosyltransferase 4";"udpgal[g] + gd2_hs[g] => h[g] + udp[g] + gd1b_hs[g] ";"( 8705 )";0;0;23,512;0
"BIOCYTtn";"biocytin transport, nuclear";"biocyt[c] <=> biocyt[n] ";"";1;-23,512;23,512;0
"CAMPt";"cAMP transport (ATP-dependent)";"h2o[c] + atp[c] + camp[c] => adp[c] + h[c] + pi[c] + camp[e] ";"( 10257 ) or ( 10057 ) or ( 85320 )";0;0;8,787;0
"CHOLtg";"choline intracellular transport";"chol[g] <=> chol[c] ";"";1;-23,512;23,512;0
"CLOXAtex2";"chloride transport via oxalate countertransport (2:1)";"2 cl[e] + oxa[c] => 2 cl[c] + oxa[e] ";"( 65010 )";0;0;0,623;0
"CLPNDCPT1";"carnitine O-palmitoyltransferase";"crn[c] + clpndcoa[c] => coa[c] + clpndcrn[c] ";"( 1375 ) or ( 126129 ) or ( 1374 )";0;0;26,486;0
"CLPNDCPT2";"carnitine transferase";"coa[m] + clpndcrn[m] => crn[m] + clpndcoa[m] ";"( 1376 )";0;0;9,286;0
"CLPNDCRNt";"transport into the mitochondria (carnitine)";"clpndcrn[c] => clpndcrn[m] ";"( 788 )";0;0;31,846;0
"CO2tg";"CO2 Golgi transport";"co2[c] <=> co2[g] ";"";1;-23,512;23,512;0
"CRNtHa";"L-carnitine outward transport (H+ antiport)";"h[e] + crn[c] => h[c] + crn[e] ";"( 6583 )";0;0;2,306;0
"CSBPASEly";"chondroitin sulfate B proteoglycan protease, lysosome (endosome)";"h2o[l] + cspg_b[l] => Ser_Gly_Ala_X_Gly[l] + cs_b[l] ";"";0;0;23,512;0
"CSDPASEly";"chondroitin sulfate D proteoglycan protease, lysosome (endosome)";"h2o[l] + cspg_d[l] => Ser_Gly_Ala_X_Gly[l] + cs_d[l] ";"";0;0;23,512;0
"CSPG_Bt";"chondroitin sulfate B transport, golgi to extracellular";"cspg_b[g] => cspg_b[e] ";"";0;0;23,512;0
"CSPG_Btly";"chondroitin sulfate B transport, extracellular to lysosome";"cspg_b[e] => cspg_b[l] ";"";0;0;23,512;0
"CSPG_Ctly";"chondroitin sulfate C transport, extracellular to lysosome";"cspg_c[e] => cspg_c[l] ";"";0;0;23,512;0
"CSPG_Dt";"chondroitin sulfate D transport, golgi to extracellular";"cspg_d[g] => cspg_d[e] ";"";0;0;23,512;0
"CSPG_Dtly";"chondroitin sulfate D transport, extracellular to lysosome";"cspg_d[e] => cspg_d[l] ";"";0;0;23,512;0
"DGSNt";"deoyguanosine transport via diffusion";"dgsn[e] <=> dgsn[c] ";"( 3177 )";1;-1,371;1,371;0
"DHCHOLESTANATEtm";"lipid, flip-flop intracellular transport";"dhcholestanate[m] <=> dhcholestanate[x] ";"";1;-23,512;23,512;0
"DHCR242r";"24-dehydrocholesterol reductase [Precursor]";"fadh2[r] + chlstol[r] => fad[r] + lthstrl[r] ";"( 1718 ) or ( 1581 )";0;0;3,739;0
"DHFtl";"dihydrofolate reversible lysosomal transport";"dhf[c] <=> dhf[l] ";"";1;-23,512;23,512;0
"DNDPt13m";"dADP transport via ATP antiport";"atp[m] + dadp[c] => atp[c] + dadp[m] ";"( 60386 )";0;0;0,748;0
"DNDPt14m";"dUDP transport via dTDP antiport";"dtdp[m] + dudp[c] => dtdp[c] + dudp[m] ";"( 60386 )";0;0;0,748;0
"DNDPt16m";"dUDP transport via dADP antiport";"dadp[m] + dudp[c] => dadp[c] + dudp[m] ";"( 60386 )";0;0;0,748;0
"DNDPt26m";"dCDP transport via dUDP antiport";"dcdp[c] + dudp[m] => dcdp[m] + dudp[c] ";"( 60386 )";0;0;0,748;0
"DNDPt28m";"dCDP transport via dGDP antiport";"dcdp[c] + dgdp[m] => dgdp[c] + dcdp[m] ";"( 60386 )";0;0;0,748;0
"DNDPt41m";"dUTP transport via dCDP antiport";"dcdp[m] + dutp[c] => dcdp[c] + dutp[m] ";"( 60386 )";0;0;0,748;0
"DNDPt52m";"dCTP transport via dUDP antiport";"dctp[c] + dudp[m] => dctp[m] + dudp[c] ";"( 60386 )";0;0;0,748;0
"DOPASULT";"Dopamine Sulfotransferase";"paps[c] + dopa[c] => h[c] + pap[c] + dopasf[c] ";"( 6799 ) or ( 6817 ) or ( 6818 )";0;0;8,102;0
"DURItn";"deoxyuridine  transport in nucleus";"duri[c] <=> duri[n] ";"";1;-23,512;23,512;0
"ECOAH12m";"3-hydroxyacyl-CoA dehydratase (3-hydroxyisobutyryl-CoA) (mitochondria)";"h2o[m] + 2mp2coa[m] <=> 3hibutcoa[m] ";"( 1892 ) or ( 3030 and 3032 )";1;-156,114;156,114;0
"EX_estradiol(e)";"estradiol exchange";"estradiol[e] <=> ";"";1;-1;0;0
"FADDP";"FAD diphosphatase";"h2o[c] + fad[c] => 2 h[c] + amp[c] + fmn[c] ";"( 5167 ) or ( 5169 )";0;0;2,493;0
"FADH2tx";"FADH2 transporter, peroxisomal";"fadh2[c] <=> fadh2[x] ";"";1;-23,512;23,512;0
"FADtx";"FAD transporter, peroxisomal";"fad[c] <=> fad[x] ";"";1;-23,512;23,512;0
"FAOXC1811601m";"Beta oxidation  fatty acid";"5 h2o[m] + 5 coa[m] + 5 nad[m] + 4 fad[m] + od2coa[m] => 5 h[m] + 5 nadh[m] + 5 accoa[m] + 4 fadh2[m] + occoa[m] ";"( 35 ) or ( 34 )";0;0;60,825;0
"FPGS4";"folylpolyglutamate synthetase (DHF)";"atp[c] + 4 glu_L[c] + dhf[c] => 3 h2o[c] + adp[c] + h[c] + pi[c] + 5dhf[c] ";"( 2356 )";0;0;0,436;0
"G5SDym";"glutamate-5-semialdehyde dehydrogenase (m)";"h[m] + nadph[m] + glu5p[m] => nadp[m] + pi[m] + glu5sa[m] ";"( 5832 )";0;0;8,413;0
"GALGT3";"Beta-1,4 N-acetylgalactosaminyltransferase";"udpacgal[g] + gd3_hs[g] => h[g] + udp[g] + gd2_hs[g] ";"( 2583 )";0;0;0,81;0
"GALNACT2g";"uridine diphosphoacetylgalactosamine-chondroitin acetylgalactosaminyltransferase II, Golgi";"uacgam[g] + cs_a_b_pre2[g] => h[g] + udp[g] + cs_a_b_pre3[g] ";"( 55790 ) or ( 22856 and 79586 ) or ( 55454 ) or ( 337876 )";0;0;47,115;0
"GALNACT3g";"uridine diphosphoacetylgalactosamine-chondroitin acetylgalactosaminyltransferase II, Golgi";"uacgam[g] + cs_c_pre2[g] => h[g] + udp[g] + cs_c_pre3[g] ";"( 55790 ) or ( 22856 and 79586 ) or ( 55454 ) or ( 337876 )";0;0;47,115;0
"GBAl";"Glucosylceramidase";"h2o[l] + gluside_hs[l] => crm_hs[l] + glc_D[l] ";"( 2629 )";0;0;12,713;0
"GBSIDEtl";"globoside intracellular transport";"gbside_hs[c] <=> gbside_hs[l] ";"";1;-23,512;23,512;0
"GGH_5DHFl";"Gamma-glutamyl hydrolase (5DHF), lysosomal";"4 h2o[l] + 5dhf[l] => dhf[l] + 4 glu_L[l] ";"( 8836 )";0;0;17,699;0
"GLB1";"Beta-galactosidase";"h2o[l] + galgluside_hs[l] => gal[l] + gluside_hs[l] ";"( 2588 and 2720 and 4758 and 5476 ) or ( 2720 and 5476 )";0;0;24,804;0
"GLCAASE1ly";"beta-glucuronidase, lysosomal";"h2o[l] + hs_deg9[l] => glcur[l] + hs_deg10[l] ";"( 2990 )";0;0;6,232;0
"GLCAASE6ly";"beta-glucuronidase, lysosomal";"h2o[l] + cs_d_deg3[l] => glcur[l] + cs_d_deg4[l] ";"( 2990 )";0;0;6,232;0
"GLCAT3g";"chondroitin glucuronyltransferase II, Golgi apparatus";"udpglcur[g] + cs_c_d_e_pre1[g] => h[g] + udp[g] + cs_c_pre2[g] ";"( 54480 ) or ( 337876 ) or ( 22856 and 79586 )";0;0;1,807;0
"GLCNACASE1ly";"alpha-N-acetylglucosaminidase, lysosomal";"h2o[l] + hs_deg3[l] => acgam[l] + hs_deg4[l] ";"( 4669 )";0;0;0,561;0
"GLCNACASE2ly";"alpha-N-acetylglucosaminidase, lysosomal";"h2o[l] + hs_deg8[l] => acgam[l] + hs_deg9[l] ";"( 4669 )";0;0;0,561;0
"GLCNACASE3ly";"alpha-N-acetylglucosaminidase, lysosomal";"h2o[l] + hs_deg14[l] => acgam[l] + hs_deg15[l] ";"( 4669 )";0;0;0,561;0
"GLCNACASE4ly";"alpha-N-acetylglucosaminidase, lysosomal";"h2o[l] + hs_deg20[l] => acgam[l] + hs_deg21[l] ";"( 4669 )";0;0;0,561;0
"GLCNACASE5ly";"alpha-N-acetylglucosaminidase, lysosomal";"h2o[l] + hs_deg24[l] => acgam[l] + hs_deg25[l] ";"( 4669 )";0;0;0,561;0
"GTHDH";"Glutathione dehydrogenase (dehydroascorbate reductase)";"dhdascb[c] + 2 gthrd[c] => h[c] + ascb_L[c] + gthox[c] ";"";0;0;23,512;0
"HEXCCRNt";"transport into the mitochondria (carnitine)";"hexccrn[c] => hexccrn[m] ";"( 788 )";0;0;31,846;0
"HIStiDF";"L-histidine transport via diffusion (extracellular to cytosol)";"his_L[e] => his_L[c] ";"( 55089 )";0;0;23,512;0
"HS1ly";"heparan-N-sulfatase, lysosomal";"h2o[l] + hs_deg1[l] => h[l] + so4[l] + hs_deg2[l] ";"( 6448 )";0;0;0,436;0
"HS2ly";"heparan-N-sulfatase, lysosomal";"h2o[l] + hs_deg6[l] => h[l] + so4[l] + hs_deg7[l] ";"( 6448 )";0;0;0,436;0
"HS3ly";"heparan-N-sulfatase, lysosomal";"h2o[l] + hs_deg12[l] => h[l] + so4[l] + hs_deg13[l] ";"( 6448 )";0;0;0,436;0
"HS4ly";"heparan-N-sulfatase, lysosomal";"h2o[l] + hs_deg18[l] => h[l] + so4[l] + hs_deg19[l] ";"( 6448 )";0;0;0,436;0
"HSAT1ly";"heparan-glucosaminide N-acetyltransferase, lysosomal";"accoa[c] + hs_deg2[l] => coa[c] + h[l] + hs_deg3[l] ";"";0;0;23,512;0
"HSAT2ly";"heparan-glucosaminide N-acetyltransferase, lysosomal";"accoa[c] + hs_deg7[l] => coa[c] + h[l] + hs_deg8[l] ";"";0;0;23,512;0
"HSAT3ly";"heparan-glucosaminide N-acetyltransferase, lysosomal";"accoa[c] + hs_deg13[l] => coa[c] + h[l] + hs_deg14[l] ";"";0;0;23,512;0
"HSAT4ly";"heparan-glucosaminide N-acetyltransferase, lysosomal";"accoa[c] + hs_deg19[l] => coa[c] + h[l] + hs_deg20[l] ";"";0;0;23,512;0
"HSD17B2r";"17-beta-hydroxysteroid dehydrogenase";"h[r] + nadh[r] + andrstndn[r] => nad[r] + tststerone[r] ";"( 3294 )";0;0;23,512;0
"HSD3B12r";"3 beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I";"nad[r] + dhea[r] => h[r] + nadh[r] + andrstndn[r] ";"( 3284 )";0;0;23,512;0
"HSPASEly";"heparan sulfate proteoglycan protease, lysosome (endosome)";"h2o[l] + hspg[l] => Ser_Gly_Ala_X_Gly[l] + hs[l] ";"";0;0;23,512;0
"HSPGtly";"heparan sulfate transport, extracellular to lysosome";"hspg[e] => hspg[l] ";"";0;0;23,512;0
"IDOAASE1ly";"alpha-L-iduronidase, lysosomal";"h2o[l] + hs_deg4[l] => hs_deg5[l] + idour[l] ";"( 3425 )";0;0;0,374;0
"IDOAASE2ly";"alpha-L-iduronidase, lysosomal";"h2o[l] + hs_deg16[l] => idour[l] + hs_deg17[l] ";"( 3425 )";0;0;0,374;0
"IDOAASE3ly";"alpha-L-iduronidase, lysosomal";"h2o[l] + hs_deg22[l] => idour[l] + hs_deg23[l] ";"( 3425 )";0;0;0,374;0
"IDOAASE4ly";"alpha-L-iduronidase, lysosomal";"h2o[l] + cs_b_deg3[l] => cs_a_deg3[l] + idour[l] ";"( 3425 )";0;0;0,374;0
"LGNCCOAtx";"fatty acid intracellular transport";"lgnccoa[c] <=> lgnccoa[x] ";"";1;-23,512;23,512;0
"LGNCCPT1";"carnitine O-palmitoyltransferase";"crn[c] + lgnccoa[c] => coa[c] + lgnccrn[c] ";"( 1375 ) or ( 126129 ) or ( 1374 )";0;0;26,486;0
"LINKDEG1ly";"degradation of proteoglycan linkage region, lysosomal";"3 h2o[l] + hs_deg25[l] => 2 gal[l] + glcur[l] + xyl_D[l] ";"";0;0;23,512;0
"MI13456PK";"inositol-1,3,4,5,6-pentakisphosphate 2-kinase";"atp[c] + mi13456p[c] => adp[c] + h[c] + minohp[c] ";"";0;0;23,512;0
"MI1345PP";"inositol-1,3,4,5-trisphosphate 5-phosphatase";"h2o[c] + mi1345p[c] => pi[c] + mi134p[c] ";"( 3635 ) or ( 8867 ) or ( 3636 ) or ( 27124 ) or ( 3633 ) or ( 56623 ) or ( 3632 )";0;0;38,577;0
"MI145PK";"inositol-1,4,5-trisphosphate 3-kinase";"atp[c] + mi145p[c] => adp[c] + h[c] + mi1345p[c] ";"( 3706 ) or ( 80271 ) or ( 3707 )";0;0;36,645;0
"MI145PP";"inositol-1,4,5-trisphosphate 5-phosphatase";"h2o[c] + mi145p[c] => pi[c] + mi14p[c] ";"( 3635 ) or ( 8867 ) or ( 3636 ) or ( 27124 ) or ( 3633 ) or ( 56623 ) or ( 3632 )";0;0;38,577;0
"NACHEX3ly";"beta-N-acetylhexosaminidase, lysosomal";"h2o[l] + cs_b_deg1[l] => acgal[l] + cs_b_deg2[l] ";"( 3073 ) or ( 3073 and 3074 ) or ( 3074 )";0;0;40,82;0
"NACHEX6ly";"beta-N-acetylhexosaminidase, lysosomal";"h2o[l] + cs_d_deg1[l] => acgal[l] + cs_d_deg2[l] ";"( 3073 and 3074 ) or ( 3074 ) or ( 3073 )";0;0;40,82;0
"NACHEX7ly";"beta-N-acetylhexosaminidase, lysosomal";"h2o[l] + cs_d_deg5[l] => acgal[l] + cs_d_deg6[l] ";"( 3073 and 3074 ) or ( 3074 ) or ( 3073 )";0;0;40,82;0
"NACHEXA4ly";"beta-N-acetylhexosaminidase A, lysosomal";"2 h2o[l] + cs_c_deg3[l] => h[l] + acgal[l] + so4[l] + cs_c_deg5[l] ";"( 3073 ) or ( 3073 and 3074 )";0;0;25,178;0
"NACHEXA6ly";"beta-N-acetylhexosaminidase A, lysosomal";"2 h2o[l] + cs_d_deg4[l] => h[l] + acgal[l] + so4[l] + cs_d_deg6[l] ";"( 3073 ) or ( 3073 and 3074 )";0;0;25,178;0
"NACHEXA7ly";"beta-N-acetylhexosaminidase A, lysosomal";"3 h2o[l] + cs_e[l] => 2 h[l] + acgal[l] + 2 so4[l] + cs_e_deg3[l] ";"( 3073 ) or ( 3073 and 3074 )";0;0;25,178;0
"NAGAlby";"N-acetylgalactosaminidase, beta-";"h[l] + acgbgbside_hs[l] + udp[l] => gbside_hs[l] + udpacgal[l] ";"";0;0;23,512;0
"NH4tn";"ammonia nuclear transport";"nh4[c] <=> nh4[n] ";"";1;-23,512;23,512;0
"NMNATm";"nicotinamide-nucleotide adenylyltransferase, mitochondrial";"h[m] + atp[m] + nmn[m] => nad[m] + ppi[m] ";"( 349565 )";0;0;4,3;0
"NOS1";"Nitric Oxide Synthase (intermediate forming)";"o2[c] + h[c] + nadph[c] + arg_L[c] => h2o[c] + nadp[c] + nwharg[c] ";"( 4846 ) or ( 201288 ) or ( 4842 ) or ( 4843 ) or ( 645740 )";0;0;0,997;0
"NOS2";"Nitric Oxide Synthase (NO forming)";"o2[c] + nadph[c] + nwharg[c] => h2o[c] + h[c] + nadp[c] + citr_L[c] + no[c] ";"( 4846 ) or ( 201288 ) or ( 4842 ) or ( 4843 ) or ( 645740 )";0;0;0,997;0
"OBDHc";"2-Oxobutanoate dehydrogenase, cytosolic";"nad[c] + 2obut[c] + coa[c] => nadh[c] + co2[c] + ppcoa[c] ";"";0;0;23,512;0
"ORNDC";"Ornithine Decarboxylase";"h[c] + orn[c] => co2[c] + ptrc[c] ";"( 4953 )";0;0;51,602;0
"ORNtiDF";"ornithine transport via diffusion (extracellular to cytosol)";"orn[e] => orn[c] ";"( 6542 ) or ( 6541 ) or ( 84889 )";0;0;39,823;0
"OXAHCOtex";"oxalate transport via bicarbonate countertransport";"2 hco3[c] + oxa[e] => 2 hco3[e] + oxa[c] ";"( 1836 ) or ( 10861 ) or ( 1811 )";0;0;1,807;0
"P45017A2r";"Cytochrome P450 17A1";"0.5 o2[r] + h[r] + nadph[r] + 17ahprgnlone[r] => acald[r] + h2o[r] + nadp[r] + dhea[r] ";"( 1586 )";0;0;23,512;0
"P45017A4r";"Cytochrome P450 17A1";"0.5 o2[r] + h[r] + nadph[r] + 17ahprgstrn[r] => acald[r] + h2o[r] + nadp[r] + andrstndn[r] ";"( 1586 )";0;0;23,512;0
"P45019A2r";"aromatase";"2 o2[r] + nadph[r] + tststerone[r] => 2 h2o[r] + nadp[r] + estradiol[r] + for[r] ";"( 1588 )";0;0;0,436;0
"PA_HStg";"phosphatidate scramblase";"pa_hs[c] <=> pa_hs[g] ";"";1;-23,512;23,512;0
"PAFHe";"Platelet-activating factor acetylhydrolase";"h2o[e] + paf_hs[e] => h[e] + ac[e] + ak2lgchol_hs[e] ";"( 7941 )";0;0;0,81;0
"PAFS";"alkyl glycerol phosphocholine acetyl transferase";"accoa[c] + ak2lgchol_hs[c] => coa[c] + paf_hs[c] ";"";0;0;23,512;0
"PCHOL_HStg";"phosphatidylcholine scramblase";"pchol_hs[c] <=> pchol_hs[g] ";"";1;-23,512;23,512;0
"PCHOLPg_hs";"choline phosphatase";"h2o[g] + pchol_hs[g] => h[g] + chol[g] + pa_hs[g] ";"( 5337 )";0;0;1,807;0
"PI45PLC";"phosphatidylinositol 4,5-bisphosphate phospholipase C";"h2o[c] + pail45p_hs[c] => h[c] + dag_hs[c] + mi145p[c] ";"( 23236 ) or ( 5336 ) or ( 9651 ) or ( 113026 ) or ( 89869 ) or ( 84812 ) or ( 5330 ) or ( 5335 ) or ( 51196 ) or ( 5333 ) or ( 5332 ) or ( 5331 ) or ( 5334 ) or ( 257068 ) or ( 23007 )";0;0;79,521;0
"PI5P3Ker";"phosphatidylinositol-5-phosphate 3-kinase, endoplasmic reticulum";"atp[r] + pail5p_hs[r] => adp[r] + h[r] + pail35p_hs[r] ";"( 5287 )";0;0;2,804;0
"PMI12346PH";"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase";"h2o[c] + ppmi12346p[c] => h[c] + pi[c] + minohp[c] ";"( 117283 ) or ( 9807 )";0;0;1,807;0
"PPMI12346Ptn";"5-diphosphatidylinositol pentakisphosphate nuclear transport (diffusion)";"ppmi12346p[c] <=> ppmi12346p[n] ";"";1;-23,512;23,512;0
"PPNCL3";"phosphopantothenate-cysteine ligase";"atp[c] + cys_L[c] + 4ppan[c] => h[c] + amp[c] + ppi[c] + 4ppcys[c] ";"( 79717 )";0;0;25,302;0
"PTE2x";"peroxisomal acyl-CoA thioesterase";"pmtcoa[x] + h2o[x] => h[x] + coa[x] + hdca[x] ";"( 10965 ) or ( 10005 ) or ( 122970 )";0;0;15,331;0
"QUILSYN";"Quinolinate Synthase (Eukaryotic)";"cmusa[c] => h2o[c] + h[c] + quln[c] ";"";0;0;23,512;0
"RETFA";"retinol acyltransferase";"Rtotal2coa[c] + retinol[c] => coa[c] + retfa[c] ";"";0;0;23,512;0
"RTOTAL2t";"RTOTAL2 transport";"Rtotal2[e] <=> Rtotal2[c] ";"";1;-23,512;23,512;0
"S2T2g";"chondroitin 2-sulfotransferase, Golgi";"paps[g] + cs_d_pre5[g] => h[g] + cspg_d[g] + pap[g] ";"( 10090 )";0;0;5,796;0
"S2T3g";"uronyl 2-sulfotransferase, Golgi";"paps[g] + cs_b_pre5[g] => h[g] + cspg_b[g] + pap[g] ";"( 10090 )";0;0;5,796;0
"S2TASE1ly";"iduronate-2-sulfatase, lysosomal";"h2o[l] + hs_deg15[l] => h[l] + so4[l] + hs_deg16[l] ";"( 3423 )";0;0;84,819;0
"S2TASE2ly";"iduronate-2-sulfatase, lysosomal";"h2o[l] + hs_deg21[l] => h[l] + so4[l] + hs_deg22[l] ";"( 3423 )";0;0;84,819;0
"S2TASE3ly";"iduronate-2-sulfatase, lysosomal";"h2o[l] + cs_b_deg2[l] => h[l] + so4[l] + cs_b_deg3[l] ";"( 3423 )";0;0;84,819;0
"S2TASE4ly";"glucuronate-2-sulfatase, lysosomal";"h2o[l] + cs_d_deg2[l] => h[l] + so4[l] + cs_d_deg3[l] ";"";0;0;23,512;0
"S2TASE5ly";"glucuronate-2-sulfatase, lysosomal";"h2o[l] + cs_d_deg6[l] => h[l] + so4[l] + cs_c_deg5[l] ";"";0;0;23,512;0
"S3TASE1ly";"N-acetylglucosamine-3-sulfatase, lysosomal";"h2o[l] + hs_deg10[l] <=> h[l] + so4[l] + hs_deg11[l] ";"";1;-23,512;23,512;0
"S3TASE2ly";"N-acetylglucosamine-3-sulfatase, lysosomal";"h2o[l] + hs_deg17[l] <=> h[l] + so4[l] + hs_deg18[l] ";"";1;-23,512;23,512;0
"S3TASE3ly";"N-acetylglucosamine-3-sulfatase, lysosomal";"h2o[l] + hs_deg23[l] <=> h[l] + so4[l] + hs_deg24[l] ";"";1;-23,512;23,512;0
"S4T1g";"chondroitin 4-sulfotransferase, Golgi apparatus";"2 paps[g] + cs_pre[g] => 2 h[g] + 2 pap[g] + cs_a_b_e_pre1[g] ";"( 113189 ) or ( 50515 ) or ( 166012 ) or ( 55501 )";0;0;23,807;0
"S4T3g";"chondroitin 4-sulfotransferase, Golgi apparatus";"paps[g] + cs_e_pre4[g] => h[g] + pap[g] + cs_e_pre5a[g] ";"( 113189 ) or ( 50515 ) or ( 166012 ) or ( 55501 )";0;0;23,807;0
"S4TASE3ly";"N-acetylgalactosamine-4-sulfatase, lysosomal";"h2o[l] + cs_b[l] <=> h[l] + so4[l] + cs_b_deg1[l] ";"( 411 )";1;-6,98;6,98;0
"S6T22g";"chondroitin 6-sulfotransferase, Golgi apparatus";"2 paps[g] + cs_a_b_e_pre1[g] => 2 h[g] + 2 pap[g] + cs_e_pre2[g] ";"( 56548 )";0;0;22,622;0
"S6T23g";"chondroitin 6-sulfotransferase, Golgi apparatus";"paps[g] + cs_e_pre5a[g] => h[g] + cspg_e[g] + pap[g] ";"( 56548 )";0;0;22,622;0
"S6TASE1ly";"N-acetylglucosamine-6-sulfatase, lysosomal";"h2o[l] + hs[l] <=> h[l] + so4[l] + hs_deg1[l] ";"( 2799 )";1;-32,282;32,282;0
"S6TASE2ly";"N-acetylglucosamine-6-sulfatase, lysosomal";"h2o[l] + hs_deg5[l] <=> h[l] + so4[l] + hs_deg6[l] ";"( 2799 )";1;-32,282;32,282;0
"S6TASE3ly";"N-acetylglucosamine-6-sulfatase, lysosomal";"h2o[l] + hs_deg11[l] <=> h[l] + so4[l] + hs_deg12[l] ";"( 2799 )";1;-32,282;32,282;0
"S6TASE4ly";"N-acetylgalactosamine-6-sulfatase, lysosomal";"h2o[l] + cs_c[l] <=> h[l] + so4[l] + cs_c_deg1[l] ";"( 2588 and 2720 and 4758 and 5476 )";1;-1,496;1,496;0
"S6TASE6ly";"N-acetylgalactosamine-6-sulfatase, lysosomal";"h2o[l] + cs_d[l] <=> h[l] + so4[l] + cs_d_deg1[l] ";"( 2588 and 2720 and 4758 and 5476 )";1;-1,496;1,496;0
"S6TASE7ly";"N-acetylgalactosamine-6-sulfatase, lysosomal";"h2o[l] + cs_d_deg4[l] <=> h[l] + so4[l] + cs_d_deg5[l] ";"( 2588 and 2720 and 4758 and 5476 )";1;-1,496;1,496;0
"SIAT4Bg";"Beta-galactoside alpha-2,3-sialyltransferase, Golgi apparatus";"galgbside_hs[g] + cmpacna[g] => h[g] + cmp[g] + acngalgbside_hs[g] ";"( 6483 )";0;0;1,683;0
