"abbreviation"	"name"	"equation"	"reversible"	"compartment"	"lowbnd"	"uppbnd"	"obj_coef"	"rule"	"subsystem"
"HMR_4358"	"HMR_4358"	"(1) ADP[c] + (1) PEP[c] --> (1) ATP[c] + (1) pyruvate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4360"	"HMR_4360"	"(1) H2O[c] + (1) NADP[c] + (1) methylglyoxal[c] --> (1) H[c] + (1) NADPH[c] + (1) pyruvate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4363"	"HMR_4363"	"(1) 2-phospho-D-glycerate[c] <==> (1) H2O[c] + (1) PEP[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4365"	"HMR_4365"	"(1) 2-phospho-D-glycerate[c] <==> (1) 3-phospho-D-glycerate[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4368"	"HMR_4368"	"(1) 1,3-bisphospho-D-glycerate[c] + (1) ADP[c] <==> (1) 3-phospho-D-glycerate[c] + (1) ATP[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4370"	"HMR_4370"	"(1) 1,3-bisphospho-D-glycerate[c] + (1) H2O[c] --> (1) 3-phospho-D-glycerate[c] + (1) Pi[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4371"	"HMR_4371"	"(1) 1,3-bisphospho-D-glycerate[c] --> (1) 2,3-bisphospho-D-glycerate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4372"	"HMR_4372"	"(1) 2,3-bisphospho-D-glycerate[c] + (1) H2O[c] --> (1) 3-phospho-D-glycerate[c] + (1) Pi[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4373"	"HMR_4373"	"(1) 1,3-bisphospho-D-glycerate[c] + (1) H[c] + (1) NADH[c] <==> (1) GAP[c] + (1) NAD[c] + (1) Pi[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4375"	"HMR_4375"	"(1) DHAP[c] + (1) GAP[c] <==> (1) fructose-1,6-bisphosphate[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4377"	"HMR_4377"	"(1) H2O[c] + (1) fructose-1,6-bisphosphate[c] --> (1) Pi[c] + (1) fructose-6-phosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4391"	"HMR_4391"	"(1) DHAP[c] <==> (1) GAP[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4394"	"HMR_4394"	"(1) ATP[c] + (1) glucose[c] --> (1) ADP[c] + (1) glucose-6-phosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4396"	"HMR_4396"	"(1) glucose-1-phosphate[c] <==> (1) glucose-6-phosphate[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_4521"	"HMR_4521"	"(1) H2O[r] + (1) glucose-6-phosphate[r] --> (1) Pi[r] + (1) glucose[r]"	"irreversible"	"r"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_6410"	"HMR_6410"	"(1) lipoamide[m] + (1) pyruvate[m] --> (1) CO2[m] + (1) S-acetyldihydrolipoamide[m]"	"irreversible"	"m"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_6412"	"HMR_6412"	"(1) CoA[m] + (1) S-acetyldihydrolipoamide[m] --> (1) acetyl-CoA[m] + (1) dihydrolipoamide[m]"	"irreversible"	"m"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_7745"	"HMR_7745"	"(1) beta-D-glucose[c] <==> (1) glucose[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_7746"	"HMR_7746"	"(1) ATP[c] + (1) beta-D-glucose[c] --> (1) ADP[c] + (1) beta-D-glucose-6-phosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_7747"	"HMR_7747"	"(1) ADP[c] + (1) beta-D-glucose[c] --> (1) AMP[c] + (1) beta-D-glucose-6-phosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_8360"	"HMR_8360"	"(1) H2O2[p] + (1) ethanol[p] --> (2) H2O[p] + (1) acetaldehyde[p]"	"irreversible"	"p"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_8652"	"HMR_8652"	"(1) carbamoyl-phosphate[r] + (1) glucose[r] --> (1) CO2[r] + (1) NH3[r] + (1) glucose-6-phosphate[r]"	"irreversible"	"r"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_8757"	"HMR_8757"	"(1) H[c] + (1) NADPH[c] + (1) O2[c] + (1) ethanol[c] --> (2) H2O[c] + (1) NADP[c] + (1) acetaldehyde[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Glycolysis / Gluconeogenesis"
"HMR_3989"	"HMR_3989"	"(1) H2O[e] + (1) maltose[e] <==> (2) glucose[e]"	"reversible"	"e"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_4122"	"HMR_4122"	"(1) H2O[c] + (2) NAD[c] + (1) UDP-glucose[c] <==> (2) H[c] + (2) NADH[c] + (1) UDP-glucuronate[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_4837"	"HMR_4837"	"(1) H2O[e] + (1) trehalose[e] <==> (2) glucose[e]"	"reversible"	"e"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_5396"	"HMR_5396"	"(3) UDP-glucose[c] + (1) glycogenin G8[c] <==> (3) UDP[c] + (1) glycogenin G11[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_9727"	"HMR_9727"	"(1) UDP-glucose[c] <==> (1) glycogen[c] + (1) UDP[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_5397"	"HMR_5397"	"(1) glycogenin G11[c] <==> (1) glycogenin G4G7[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_5398"	"HMR_5398"	"(3) Pi[c] + (1) glycogenin G4G7[c] --> (3) glucose-1-phosphate[c] + (1) glycogenin G4G4[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_5399"	"HMR_5399"	"(1) glycogenin G4G4[c] <==> (1) glycogenin G7G1[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_5400"	"HMR_5400"	"(1) H2O[c] + (1) glycogenin G7G1[c] <==> (1) glucose[c] + (1) glycogenin G7[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_5401"	"HMR_5401"	"(7) Pi[c] + (1) glycogenin G7[c] --> (7) glucose-1-phosphate[c] + (1) glycogenin[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8568"	"HMR_8568"	"(1) H2O[c] + (1) maltodecaose[c] <==> (1) fructose[c] + (1) maltononaose[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8569"	"HMR_8569"	"(1) H2O[e] + (1) maltodecaose[e] <==> (1) glucose[e] + (1) maltononaose[e]"	"reversible"	"e"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8570"	"HMR_8570"	"(2) H2O[c] + (1) maltononaose[c] <==> (2) fructose[c] + (1) maltoheptaose[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8571"	"HMR_8571"	"(2) H2O[e] + (1) maltononaose[e] <==> (2) glucose[e] + (1) maltoheptaose[e]"	"reversible"	"e"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8572"	"HMR_8572"	"(1) H2O[c] + (1) maltoheptaose[c] <==> (1) fructose[c] + (1) maltohexaose[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8573"	"HMR_8573"	"(1) H2O[e] + (1) maltoheptaose[e] <==> (1) glucose[e] + (1) maltohexaose[e]"	"reversible"	"e"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8574"	"HMR_8574"	"(1) H2O[c] + (1) maltohexaose[c] <==> (1) fructose[c] + (1) maltopentaose[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8575"	"HMR_8575"	"(1) H2O[e] + (1) maltohexaose[e] <==> (1) glucose[e] + (1) maltopentaose[e]"	"reversible"	"e"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8576"	"HMR_8576"	"(1) H2O[c] + (1) maltopentaose[c] <==> (1) fructose[c] + (1) maltotetraose[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8577"	"HMR_8577"	"(1) H2O[e] + (1) maltopentaose[e] <==> (1) glucose[e] + (1) maltotetraose[e]"	"reversible"	"e"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8578"	"HMR_8578"	"(1) H2O[c] + (1) maltotetraose[c] <==> (1) fructose[c] + (1) maltotriose[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8579"	"HMR_8579"	"(1) H2O[e] + (1) maltotetraose[e] <==> (1) glucose[e] + (1) maltotriose[e]"	"reversible"	"e"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8581"	"HMR_8581"	"(1) H2O[e] + (1) maltotriose[e] <==> (1) glucose[e] + (1) maltose[e]"	"reversible"	"e"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8591"	"HMR_8591"	"(1) H2O[c] + (1) maltotriose[c] <==> (1) glucose[c] + (1) maltose[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8592"	"HMR_8592"	"(1) H2O[l] + (1) maltotriose[l] <==> (1) glucose[l] + (1) maltose[l]"	"reversible"	"l"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8580"	"HMR_8580"	"(1) H2O[c] + (1) maltotriose[c] <==> (1) fructose[c] + (1) maltose[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8582"	"HMR_8582"	"(1) H2O[c] + (1) maltose[c] <==> (2) fructose[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8587"	"HMR_8587"	"(1) H2O[c] + (1) maltose[c] <==> (2) glucose[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8589"	"HMR_8589"	"(1) H2O[l] + (1) maltose[l] <==> (2) glucose[l]"	"reversible"	"l"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8583"	"HMR_8583"	"(8) H2O[c] + (1) starch structure 1[c] <==> (8) glucose[c] + (1) starch structure 2[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_8585"	"HMR_8585"	"(1) 1,3-bisphospho-D-glycerate[c] + (1) glucose-1-phosphate[c] <==> (1) 3-phospho-D-glycerate[c] + (1) glucose-1,6-bisphosphate[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Starch and sucrose metabolism"
"HMR_3944"	"HMR_3944"	"(1) UTP[c] + (1) glucose-1-phosphate[c] --> (1) PPi[c] + (1) UDP-glucose[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Galactose metabolism"
"HMR_4128"	"HMR_4128"	"(1) UDP-galactose[c] <==> (1) UDP-glucose[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Galactose metabolism"
"HMR_4130"	"HMR_4130"	"(1) ATP[c] + (1) galactose[c] --> (1) ADP[c] + (1) alpha-D-galactose-1-phosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Galactose metabolism"
"HMR_4131"	"HMR_4131"	"(1) UDP-galactose[c] + (1) glucose-1-phosphate[c] <==> (1) UDP-glucose[c] + (1) alpha-D-galactose-1-phosphate[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Galactose metabolism"
"HMR_4132"	"HMR_4132"	"(1) UDP-glucose[c] + (1) galactose-1-phosphate[c] --> (1) UDP-galactose[c] + (1) glucose-1-phosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Galactose metabolism"
"HMR_4303"	"HMR_4303"	"(1) H2O[e] + (1) sucrose[e] --> (1) fructose[e] + (1) glucose[e]"	"irreversible"	"e"	"0"	"1000"	"0"	""	"Galactose metabolism"
"HMR_4414"	"HMR_4414"	"(1) ATP[c] + (1) galactose[c] --> (1) ADP[c] + (1) galactose-1-phosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Galactose metabolism"
"HMR_4415"	"HMR_4415"	"(1) H2O[e] + (1) lactose[e] --> (1) galactose[e] + (1) glucose[e]"	"irreversible"	"e"	"0"	"1000"	"0"	""	"Galactose metabolism"
"HMR_4416"	"HMR_4416"	"(1) H2O[e] + (1) galactosylglycerol[e] --> (1) galactose[e] + (1) glycerol[e]"	"irreversible"	"e"	"0"	"1000"	"0"	""	"Galactose metabolism"
"HMR_4774"	"HMR_4774"	"(1) CDP[c] + (1) tagatose-1,6-bisphosphate[c] <==> (1) CTP[c] + (1) D-tagatose-6-phosphate[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Galactose metabolism"
"HMR_4775"	"HMR_4775"	"(1) D-tagatose-6-phosphate[c] + (1) ITP[c] <==> (1) IDP[c] + (1) tagatose-1,6-bisphosphate[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Galactose metabolism"
"HMR_4832"	"HMR_4832"	"(1) 3-keto-beta-D-galactose[e] + (1) glucose[e] <==> (1) 3-ketolactose[e] + (1) H2O[e]"	"reversible"	"e"	"-1000"	"1000"	"0"	""	"Galactose metabolism"
"HMR_7674"	"HMR_7674"	"(1) UDP-galactose[g] + (1) glucose[g] --> (1) UDP[g] + (1) lactose[g]"	"irreversible"	"g"	"0"	"1000"	"0"	""	"Galactose metabolism"
"HMR_8761"	"HMR_8761"	"(1) ATP[c] + (1) D-tagatose[c] --> (1) ADP[c] + (1) D-tagatose-6-phosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Galactose metabolism"
"HMR_8762"	"HMR_8762"	"(1) D-tagatose-6-phosphate[c] <==> (1) DHAP[c] + (1) glyceraldehyde[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Galactose metabolism"
"HMR_8767"	"HMR_8767"	"(1) UTP[c] + (1) alpha-D-galactose-1-phosphate[c] --> (1) PPi[c] + (1) UDP-galactose[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Galactose metabolism"
"HMR_4297"	"HMR_4297"	"(1) ATP[c] + (1) fructose-6-phosphate[c] --> (1) ADP[c] + (1) fructose-2,6-bisphosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Fructose and mannose metabolism"
"HMR_4310"	"HMR_4310"	"(1) ATP[c] + (1) fructose[c] --> (1) ADP[c] + (1) fructose-1-phosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Fructose and mannose metabolism"
"HMR_4315"	"HMR_4315"	"(1) D-glucitol[c] + (1) NAD[c] <==> (1) H[c] + (1) NADH[c] + (1) fructose[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Fructose and mannose metabolism"
"HMR_4317"	"HMR_4317"	"(1) ATP[c] + (1) D-glucitol[c] --> (1) ADP[c] + (1) sorbitol-3-phosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Fructose and mannose metabolism"
"HMR_4318"	"HMR_4318"	"(1) ATP[c] + (1) fructose[c] --> (1) ADP[c] + (1) fructose-3-phosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Fructose and mannose metabolism"
"HMR_4319"	"HMR_4319"	"(1) ATP[c] + (1) fructose[c] --> (1) ADP[c] + (1) fructose-6-phosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Fructose and mannose metabolism"
"HMR_4320"	"HMR_4320"	"(1) ATP[c] + (1) mannose-1-phosphate[c] --> (1) ADP[c] + (1) D-mannose-1,6-bisphosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Fructose and mannose metabolism"
"HMR_4356"	"HMR_4356"	"(1) DHAP[c] + (1) glyceraldehyde[c] --> (1) fructose-1-phosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Fructose and mannose metabolism"
"HMR_4383"	"HMR_4383"	"(1) fructose-6-phosphate[c] <==> (1) mannose-6-phosphate[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Fructose and mannose metabolism"
"HMR_4385"	"HMR_4385"	"(1) mannose-6-phosphate[c] --> (1) mannose-1-phosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Fructose and mannose metabolism"
"HMR_4386"	"HMR_4386"	"(1) GDP[c] + (1) mannose-1-phosphate[c] --> (1) GDP-mannose[c] + (1) Pi[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Fructose and mannose metabolism"
"HMR_4387"	"HMR_4387"	"(1) GTP[c] + (1) mannose-1-phosphate[c] --> (1) GDP-mannose[c] + (1) PPi[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Fructose and mannose metabolism"
"HMR_4399"	"HMR_4399"	"(1) GDP-mannose[c] --> (1) GDP-4-dehydro-6-deoxy-D-mannose[c] + (1) H2O[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Fructose and mannose metabolism"
"HMR_4400"	"HMR_4400"	"(1) GDP-4-dehydro-6-deoxy-D-mannose[c] + (1) H[c] + (1) NADH[c] --> (1) GDP-L-fucose[c] + (1) NAD[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Fructose and mannose metabolism"
"HMR_4401"	"HMR_4401"	"(1) GDP-L-fucose[c] + (1) PPi[c] <==> (1) GTP[c] + (1) L-fucose-1-phosphate[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Fructose and mannose metabolism"
"HMR_4402"	"HMR_4402"	"(1) 6-deoxy-L-galactose[c] + (1) ATP[c] <==> (1) ADP[c] + (1) L-fucose-1-phosphate[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Fructose and mannose metabolism"
"HMR_4490"	"HMR_4490"	"(1) ATP[c] + (1) mannose[c] --> (1) ADP[c] + (1) mannose-6-phosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Fructose and Mannose metabolism"
"HMR_4706"	"HMR_4706"	"(1) H2O[c] + (1) fructose-2,6-bisphosphate[c] --> (1) Pi[c] + (1) fructose-6-phosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Fructose and Mannose metabolism"
"HMR_8768"	"HMR_8768"	"(1) GDP-4-dehydro-6-deoxy-D-mannose[c] + (1) H[c] + (1) NADPH[c] --> (1) GDP-L-fucose[c] + (1) NADP[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Fructose and Mannose metabolism"
"HMR_4590"	"HMR_4590"	"(1) H[c] + (1) L-xylulose[c] + (1) NADPH[c] --> (1) NADP[c] + (1) xylitol[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Pentose and glucuronate interconversions"
"HMR_4591"	"HMR_4591"	"(1) NAD[c] + (1) xylitol[c] --> (1) H[c] + (1) L-xylulose[c] + (1) NADH[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Pentose and glucuronate interconversions"
"HMR_4595"	"HMR_4595"	"(1) ADP[c] + (1) D-xylulose-5-phosphate[c] <==> (1) ATP[c] + (1) D-xylulose[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Pentose and glucuronate interconversions"
"HMR_8726"	"HMR_8726"	"(1) ATP[c] + (1) D-ribulose[c] --> (1) ADP[c] + (1) ribulose-5-phosphate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Pentose and glucuronate interconversions"
"HMR_8727"	"HMR_8727"	"(1) H2O[c] + (1) UDP-glucuronate[c] --> (1) D-glucuronate 1-phosphate[c] + (1) UMP[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Pentose and glucuronate interconversions"
"HMR_8729"	"HMR_8729"	"(1) H2O[c] + (1) UDP-glucuronate[c] --> (1) UDP[c] + (1) glucuronate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Pentose and glucuronate interconversions"
"HMR_1568"	"HMR_1568"	"(1) H2O[c] + (1) NAD[c] + (1) acetaldehyde[c] --> (1) H[c] + (1) NADH[c] + (1) acetate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Pyruvate metabolism"
"HMR_3853"	"HMR_3853"	"(1) GSH[c] + (1) methylglyoxal[c] --> (1) (R)-S-lactoylglutathione[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Pyruvate metabolism"
"HMR_3857"	"HMR_3857"	"(1) (R)-S-lactoylglutathione[c] + (1) H2O[c] --> (1) D-lactate[c] + (1) GSH[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Pyruvate metabolism"
"HMR_3859"	"HMR_3859"	"(1) D-lactate[c] + (2) ferricytochrome C[m] --> (2) H[c] + (2) ferrocytochrome C[m] + (1) pyruvate[c]"	"irreversible"	"c, m"	"0"	"1000"	"0"	""	"Pyruvate metabolism"
"HMR_4087"	"HMR_4087"	"(1) NAD[m] + (1) malate[m] --> (1) CO2[m] + (1) H[m] + (1) NADH[m] + (1) pyruvate[m]"	"irreversible"	"m"	"0"	"1000"	"0"	""	"Pyruvate metabolism"
"HMR_4089"	"HMR_4089"	"(1) NADP[c] + (1) malate[c] --> (1) CO2[c] + (1) H[c] + (1) NADPH[c] + (1) pyruvate[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Pyruvate metabolism"
"HMR_4091"	"HMR_4091"	"(1) NADP[m] + (1) malate[m] --> (1) CO2[m] + (1) H[m] + (1) NADPH[m] + (1) pyruvate[m]"	"irreversible"	"m"	"0"	"1000"	"0"	""	"Pyruvate metabolism"
"HMR_4103"	"HMR_4103"	"(1) GTP[m] + (1) OAA[m] --> (1) CO2[m] + (1) GDP[m] + (1) PEP[m]"	"irreversible"	"m"	"0"	"1000"	"0"	""	"Pyruvate metabolism"
"HMR_8498"	"HMR_8498"	"(1) H[c] + (1) NADPH[c] + (1) O2[c] + (1) acetone[c] --> (1) H2O[c] + (1) NADP[c] + (1) hydroxyacetone[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Pyruvate metabolism"
"HMR_8499"	"HMR_8499"	"(1) H[c] + (1) NADPH[c] + (1) O2[c] + (1) hydroxyacetone[c] --> (2) H2O[c] + (1) NADP[c] + (1) methylglyoxal[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Pyruvate metabolism"
"HMR_8501"	"HMR_8501"	"(1) H[c] + (1) NADPH[c] + (1) methylglyoxal[c] --> (1) D-lactaldehyde[c] + (1) NADP[c]"	"irreversible"	"c"	"0"	"1000"	"0"	""	"Pyruvate metabolism"
"HMR_8502"	"HMR_8502"	"(1) (R)-S-lactoylglutathione[c] + (1) H[c] + (1) NADH[c] <==> (1) D-lactaldehyde[c] + (1) GSH[c] + (1) NAD[c]"	"reversible"	"c"	"-1000"	"1000"	"0"	""	"Pyruvate metabolism"
